,HomeTeam,AwayTeam,FTR,PredictedFTR
0,Charlton,Man City,H,H
1,Chelsea,West Ham,H,H
2,Coventry,Middlesbrough,NH,H
3,Derby,Southampton,NH,NH
4,Leeds,Everton,H,H
5,Leicester,Aston Villa,NH,H
6,Liverpool,Bradford,H,H
7,Sunderland,Arsenal,H,H
8,Tottenham,Ipswich,H,NH
9,Man United,Newcastle,H,H
10,Arsenal,Liverpool,H,H
11,Bradford,Chelsea,H,H
12,Ipswich,Man United,NH,NH
13,Middlesbrough,Tottenham,NH,H
14,Everton,Charlton,H,H
15,Man City,Sunderland,H,H
16,Newcastle,Derby,H,H
17,Southampton,Coventry,NH,NH
18,West Ham,Leicester,NH,H
19,Arsenal,Charlton,H,NH
20,Bradford,Leicester,NH,NH
21,Everton,Derby,NH,H
22,Ipswich,Sunderland,H,H
23,Man City,Coventry,NH,H
24,Middlesbrough,Leeds,NH,H
25,Newcastle,Tottenham,H,H
26,Southampton,Liverpool,NH,H
27,West Ham,Man United,NH,NH
28,Aston Villa,Chelsea,NH,NH
29,Leeds,Man City,NH,NH
30,Man United,Bradford,H,H
31,Sunderland,West Ham,NH,H
32,Tottenham,Everton,H,NH
33,Charlton,Southampton,NH,H
34,Chelsea,Arsenal,NH,NH
35,Coventry,Newcastle,NH,H
36,Derby,Middlesbrough,NH,H
37,Leicester,Ipswich,H,NH
38,Liverpool,Aston Villa,H,NH
39,Bradford,Arsenal,NH,NH
40,Coventry,Leeds,NH,NH
41,Ipswich,Aston Villa,NH,NH
42,Leicester,Southampton,H,NH
43,Liverpool,Man City,H,H
44,Man United,Sunderland,H,H
45,Middlesbrough,Everton,NH,H
46,Newcastle,Chelsea,NH,H
47,Derby,Charlton,NH,NH
48,Tottenham,West Ham,H,NH
49,Arsenal,Coventry,H,NH
50,Aston Villa,Bradford,H,H
51,Charlton,Tottenham,H,H
52,Everton,Man United,NH,NH
53,Leeds,Ipswich,NH,NH
54,Southampton,Newcastle,H,H
55,Sunderland,Derby,H,H
56,Chelsea,Leicester,NH,NH
57,Man City,Middlesbrough,NH,H
58,West Ham,Liverpool,NH,H
59,Bradford,Southampton,NH,NH
60,Coventry,West Ham,NH,H
61,Derby,Leeds,NH,NH
62,Ipswich,Arsenal,NH,NH
63,Liverpool,Sunderland,NH,NH
64,Man United,Chelsea,NH,H
65,Middlesbrough,Aston Villa,NH,H
66,Newcastle,Charlton,NH,H
67,Tottenham,Man City,NH,H
68,Leicester,Everton,NH,H
69,Aston Villa,Derby,H,NH
70,Charlton,Coventry,NH,NH
71,Everton,Ipswich,NH,NH
72,Leeds,Tottenham,H,NH
73,Man City,Newcastle,NH,H
74,Southampton,Middlesbrough,NH,NH
75,West Ham,Bradford,NH,NH
76,Arsenal,Man United,H,NH
77,Chelsea,Liverpool,H,NH
78,Sunderland,Leicester,NH,NH
79,Arsenal,Aston Villa,H,NH
80,Coventry,Tottenham,H,NH
81,Everton,Southampton,NH,H
82,Ipswich,West Ham,NH,NH
83,Leeds,Charlton,H,NH
84,Leicester,Man United,NH,NH
85,Man City,Bradford,H,NH
86,Sunderland,Chelsea,H,NH
87,Derby,Liverpool,NH,H
88,Middlesbrough,Newcastle,NH,H
89,Bradford,Ipswich,NH,NH
90,Charlton,Middlesbrough,H,H
91,Chelsea,Coventry,H,H
92,Liverpool,Leicester,H,H
93,Man United,Leeds,H,H
94,Newcastle,Everton,NH,NH
95,Tottenham,Derby,H,NH
96,West Ham,Arsenal,NH,H
97,Aston Villa,Sunderland,NH,NH
98,Southampton,Man City,NH,NH
99,Arsenal,Man City,H,NH
100,Aston Villa,Charlton,H,NH
101,Chelsea,Tottenham,H,NH
102,Ipswich,Middlesbrough,H,H
103,Leicester,Derby,H,H
104,Man United,Southampton,H,H
105,Sunderland,Coventry,H,H
106,West Ham,Newcastle,H,H
107,Bradford,Leeds,NH,NH
108,Liverpool,Everton,H,NH
109,Charlton,Bradford,H,H
110,Coventry,Man United,NH,NH
111,Leeds,Liverpool,H,NH
112,Man City,Leicester,NH,H
113,Middlesbrough,Arsenal,NH,NH
114,Newcastle,Ipswich,H,NH
115,Southampton,Chelsea,H,NH
116,Tottenham,Sunderland,H,NH
117,Everton,Aston Villa,NH,NH
118,Derby,West Ham,NH,H
119,Arsenal,Derby,NH,NH
120,Aston Villa,Tottenham,H,NH
121,Bradford,Everton,NH,H
122,Ipswich,Charlton,H,H
123,Leicester,Newcastle,NH,NH
124,Man United,Middlesbrough,H,NH
125,Sunderland,Southampton,NH,NH
126,West Ham,Man City,H,H
127,Chelsea,Leeds,NH,H
128,Liverpool,Coventry,H,H
129,Charlton,Chelsea,H,NH
130,Derby,Bradford,H,H
131,Everton,Arsenal,H,H
132,Leeds,West Ham,NH,NH
133,Man City,Man United,NH,NH
134,Middlesbrough,Leicester,NH,NH
135,Newcastle,Sunderland,NH,H
136,Southampton,Aston Villa,H,H
137,Tottenham,Liverpool,H,H
138,Coventry,Ipswich,NH,NH
139,Charlton,Sunderland,NH,H
140,Coventry,Aston Villa,NH,H
141,Derby,Man United,NH,NH
142,Everton,Chelsea,H,H
143,Man City,Ipswich,NH,NH
144,Middlesbrough,Bradford,NH,H
145,Southampton,West Ham,NH,NH
146,Tottenham,Leicester,H,NH
147,Leeds,Arsenal,H,NH
148,Newcastle,Liverpool,H,NH
149,Arsenal,Southampton,H,NH
150,Aston Villa,Newcastle,NH,NH
151,Bradford,Coventry,H,H
152,Ipswich,Derby,NH,NH
153,Leicester,Leeds,H,H
154,Liverpool,Charlton,H,NH
155,Man United,Tottenham,H,H
156,West Ham,Middlesbrough,H,NH
157,Chelsea,Man City,H,H
158,Sunderland,Everton,H,H
159,Arsenal,Newcastle,H,H
160,Bradford,Tottenham,NH,NH
161,Charlton,Man United,NH,NH
162,Chelsea,Derby,H,NH
163,Man City,Everton,H,H
164,Southampton,Leeds,H,H
165,Sunderland,Middlesbrough,H,NH
166,West Ham,Aston Villa,NH,NH
167,Coventry,Leicester,H,NH
168,Liverpool,Ipswich,NH,NH
169,Aston Villa,Man City,NH,H
170,Derby,Coventry,H,H
171,Everton,West Ham,NH,H
172,Ipswich,Southampton,H,H
173,Leeds,Sunderland,H,NH
174,Leicester,Charlton,H,NH
175,Middlesbrough,Chelsea,H,H
176,Newcastle,Bradford,H,H
177,Man United,Liverpool,NH,H
178,Tottenham,Arsenal,NH,H
179,Coventry,Southampton,NH,NH
180,Charlton,Everton,H,NH
181,Chelsea,Bradford,H,NH
182,Derby,Newcastle,H,NH
